TRE,WECC,EIC
0,0,0
0,0,0.369
0.0204,0.0004,2.8966
0.204,0.137,7.7183
0.4992,1.5743,11.413
0.7344,2.8704,13.5128
0.8208,3.9325,14.0328
0.8628,4.6818,13.1093
0.8556,4.9918,10.8973
0.7332,4.858,7.6058
0.4692,4.2274,3.7254
0.1428,3.1424,0.7304
0.0072,1.54E+00,0.0374
0,0.1634,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3783
0.0924,0.0019,2.3181
0.48,0.0423,5.2433
0.726,0.6827,7.7369
0.876,1.6388,9.436
0.9504,2.7068,9.6797
0.96,3.1742,8.7901
0.9072,3.3876,6.5622
0.7908,3.4808,3.9695
0.6012,3.1305,1.8471
0.318,2.4919,0.5263
0.0156,1.152,0.0459
0,0.0979,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2163
0.078,1.60E-03,1.4981
0.4572,0.1221,3.8012
0.7212,1.2006,6.1369
0.8796,2.5982,7.5622
0.8064,3.6762,7.719
0.5856,4.3449,7.1528
0.3192,4.6256,6.2444
0.2736,4.424,4.345
0.1224,3.7354,2.096
0.0552,2.7417,0.5601
0.0036,1.48E+00,0.015
0,0.2499,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3479
0.1056,0.0022,2.8749
0.4956,0.1213,6.3538
0.6744,1.7313,9.2477
0.5904,3.2947,11.3038
0.6744,4.3888,11.5265
0.7488,4.8596,10.5905
0.714,5.0632,9.1701
0.6336,5.063,6.6544
0.5136,4.3797,3.49
0.312,3.2476,0.9203
0.018,1.71E+00,0.0494
0,0.2499,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.3829
0.1092,0.0023,2.8201
0.4992,0.1517,6.624
0.7452,1.4686,9.5089
0.8964,2.8147,11.3782
0.972,3.5829,11.8056
0.9876,3.8057,10.8701
0.9396,3.6729,9.1555
0.8232,3.2689,6.7545
0.6312,2.4938,3.7297
3.44E-01,1.6149,1.0867
0.0228,6.34E-01,0.0546
0,0.0505,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.6982
0.072,0.0015,4.5872
0.4056,0.1095,9.8542
0.6612,1.2359,13.8371
0.822,2.4327,16.0465
0.8976,3.2955,16.6361
0.9072,3.7771,15.711
0.834,3.854,13.3682
0.5184,3.578,9.8181
0.228,2.7525,4.6812
9.48E-02,1.8146,0.8234
0.0036,0.9141,0.0127
0,0.1513,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.7113
0.0264,0.0006,3.5466
0.2052,0.1184,6.6985
0.3996,1.0702,9.1939
0.6228,2.3304,10.7734
0.7632,3.5603,11.4121
0.8052,4.1653,10.5134
0.7476,4.2558,8.4568
0.6216,4.0007,5.3961
0.4116,3.4006,2.2404
0.1272,2.4663,0.4966
0.0036,1.3055,0.0241
0,0.2682,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.2291
0.0084,0.0002,1.5158
0.0924,0.2073,4.2998
0.1992,1.8034,5.7467
0.3192,3.2148,7.5534
0.3984,4.1796,8.7009
0.3924,4.7034,9.4736
0.3576,4.8971,8.5111
0.3132,4.7302,6.5184
0.2292,4.1496,3.7529
0.114,3.1388,1.1092
0.0048,1.638,0.0449
0,0.29,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.6439
0.1176,0.0025,4.2298
0.4932,0.1168,8.8532
0.7188,1.3734,12.3481
0.8544,2.8033,14.7808
0.9648,3.7839,16.1751
0.9792,4.2568,15.7903
0.9288,4.3197,13.8079
0.81,4.198,10.2203
0.6144,3.6494,4.8433
3.28E-01,2.6942,1.0503
0.024,1.41E+00,0.0505
0,0.2632,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.8959
0.0324,0.0007,4.262
0.2076,0.1839,7.7833
0.3816,1.5046,10.8021
0.5616,2.783,12.9151
0.6252,3.6752,13.8455
0.6324,4.1945,13.9474
0.6132,4.3844,12.3168
0.5676,4.1063,8.7506
0.3672,3.4922,4.5709
0.1668,2.5699,1.0749
0.0096,1.3762,0.0408
0,0.2596,0
0,0,0
