PJM,SPP,TRE,SOU,WECC,EICW,NE
0.8918,0.0862,0.1092,1.0576,0.0023,0.4212,0.3633
1.7068,0.8973,0.4992,1.7466,0.1517,1.4452,0.8281
2.2672,1.6716,0.7452,2.1392,1.4686,2.2115,1.2194
2.6456,2.295,0.8964,2.4041,2.8147,2.7286,1.3049
2.717,2.6669,0.972,2.3711,3.5829,2.845,1.2056
2.4055,2.7095,0.9876,1.9588,3.8057,2.6695,1.1268
1.9693,2.5944,0.9396,1.5154,3.6729,2.3151,0.7613
1.203,2.2295,0.8232,1.0723,3.2689,1.9009,0.3488
0.3673,1.6222,0.6312,0.5198,2.4938,1.2075,0.0129
6.10E-03,0.7003,0.3444,0.0243,1.6149,0.356,0
0,4.92E-02,0.0228,0,0.6336,0.0054,0
0,0,0,0,0.0505,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.1488,0,0,0.1533,0,0.002,0.3941
1.253,0.0585,0.072,1.1039,0.0015,0.5577,1.6141
2.4974,0.9911,0.4056,2.0451,0.1095,1.9772,2.3434
3.308,1.8949,0.6612,2.5755,1.2359,3.2761,2.7826
3.7318,2.4235,0.822,2.7972,2.4327,4.1327,2.9613
3.8231,2.6429,0.8976,2.8719,3.2955,4.3724,2.9258
3.5706,2.6153,0.9072,2.7655,3.7771,4.1323,2.6273
2.9184,2.404,0.834,2.4373,3.854,3.5601,2.0484
2.0708,1.9605,0.5184,1.8759,3.578,2.7933,1.1176
0.7472,1.2781,0.228,1.0284,2.7525,1.4918,0.1357
1.44E-02,0.4263,0.0948,0.1,1.8146,0.2827,0
0,0.0118,0.0036,0,0.9141,0.0009,0
0,0,0,0,0.1513,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.2155,0,0,0.0978,0,0.0017,0.3963
1.1696,0.0148,0.0264,0.5773,0.0006,0.2183,1.5666
1.9782,0.3761,0.2052,1.25,0.1184,0.829,2.2652
2.3083,1.0795,0.3996,1.7219,1.0702,1.4293,2.6549
2.2349,1.799,0.6228,2.0881,2.3304,1.9228,2.7286
2.1393,2.2724,0.7632,2.2354,3.5603,2.2495,2.5155
1.9954,2.3686,0.8052,1.9532,4.1653,2.0854,2.1108
1.7501,2.2706,0.7476,1.3803,4.2558,1.6122,1.4436
0.9952,1.8172,0.6216,0.8196,4.0007,1.1031,0.661
0.1453,1.1378,0.4116,0.3293,3.4006,0.5635,0.0645
0,0.3581,0.1272,0.0188,2.4663,0.1197,0
0,0.0231,0.0036,0,1.3055,0.001,0
0,0,0,0,0.2682,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0132,0,0,0.1939,0,0.0001,0.0219
0.2226,0.0364,0.0084,0.8292,0.0002,0.1441,0.2835
0.6641,0.7289,0.0924,1.449,0.2073,0.6982,0.7596
0.8294,1.4094,0.1992,1.8332,1.8034,1.1637,0.511
1.1511,2.1645,0.3192,2.151,3.2148,1.5834,0.5034
1.4345,2.6264,0.3984,2.408,4.1796,1.8782,0.3538
1.5772,2.7556,0.3924,2.2742,4.7034,2.556,0.3106
1.3544,2.6379,0.3576,1.9279,4.8971,2.2981,0.2928
0.8654,2.2834,0.3132,1.4804,4.7302,1.776,0.1132
0.229,1.6569,0.2292,0.7686,4.1496,1.0936,0.0048
0.0003,0.7214,0.114,0.084,3.1388,0.3035,0
0,0.0435,0.0048,0,1.638,0.0014,0
0,0,0,0,0.29,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.1145,0,0,0.2068,0,0.0086,0.314
0.9643,0.0933,0.1176,0.9644,0.0025,0.9039,1.3039
2.0448,0.8024,0.4932,1.6942,0.1168,2.3594,1.9524
2.9536,1.5705,0.7188,2.1299,1.3734,3.3448,2.3493
3.5982,2.1421,0.8544,2.3619,2.8033,4.0447,2.6339
3.7575,2.6559,0.9648,2.457,3.7839,4.612,2.6927
3.5172,2.8252,0.9792,2.3631,4.2568,4.6485,2.4363
2.9404,2.6927,0.9288,2.1158,4.3197,4.1465,1.9125
1.9606,2.3054,0.81,1.6169,4.198,3.2422,1.0952
0.6246,1.5169,0.6144,0.8647,3.6494,1.6844,0.1527
4.40E-03,0.5773,0.3276,0.0864,2.6942,0.3822,0
0,4.48E-02,0.024,0,1.4069,0.0057,0
0,0,0,0,0.2632,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.176,0,0,0.3276,0,0.0022,0.3901
1.229,0.0587,0.0324,1.3416,0.0007,0.2575,1.3752
2.0041,0.7068,0.2076,1.9852,0.1839,1.0556,2.0316
2.5346,1.5543,0.3816,2.401,1.5046,1.8671,2.4451
2.8854,2.2102,0.5616,2.644,2.783,2.5609,2.6146
3.1986,2.4865,0.6252,2.6692,3.6752,3.073,2.4182
3.1289,2.6052,0.6324,2.6666,4.1945,3.5203,2.0264
2.5359,2.5538,0.6132,2.2248,4.3844,3.5553,1.447
1.4784,2.2225,0.5676,1.5862,4.1063,2.8679,0.5956
0.5368,1.5772,0.3672,0.86,3.4922,1.5704,0.0265
0.0324,0.6282,0.1668,0.1022,2.5699,0.3121,0
0,0.0385,0.0096,0,1.3762,0.0023,0
0,0,0,0,0.2596,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.2103,0,0,0.3862,0,0.0114,0.3637
0.9038,0.0254,0.0336,1.3091,0.0007,0.4706,1.4411
1.3471,0.3284,0.2232,1.9648,0.1587,1.2285,2.2058
1.56,0.6896,0.438,2.4046,1.2348,1.8017,2.6849
1.8842,1.0429,0.6024,2.5483,2.6645,1.7206,2.9264
1.6005,1.2555,0.6084,2.471,3.5963,1.4428,2.907
1.3277,1.3674,0.5124,2.2997,4.0107,1.2787,2.6278
0.9749,1.2872,0.4152,1.9879,4.1075,0.9895,2.0402
0.5546,1.1209,0.354,1.5087,4.0323,0.6891,1.1128
0.1265,0.8377,0.2484,0.8043,3.4133,0.3844,0.1076
0,0.3637,0.0972,0.1071,2.3696,0.0933,0
0,0.0426,0.0048,0,1.0023,0.0013,0
0,0,0,0,0.1242,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0142,0,0,0.2864,0,0.0005,0.0098
0.2216,0.0498,0.0444,0.9471,0.0009,0.3584,0.0999
0.5838,0.9938,0.3024,1.4748,0.064,1.5486,0.154
0.9844,1.8387,0.5436,1.7717,0.5137,2.5642,0.2319
1.1482,2.3333,0.7068,2.0222,1.1092,3.2591,0.3169
1.1435,2.6398,0.8208,2.0449,1.845,3.5688,0.3173
1.1052,2.6935,0.8352,1.924,2.4042,3.5787,0.2943
0.9808,2.4162,0.798,1.585,2.5825,3.2347,0.244
0.6599,1.9846,0.6816,1.1373,2.5825,2.4321,0.1499
0.3195,1.4291,0.4668,0.627,2.2391,1.2417,0.0104
0.0234,0.5636,0.2148,0.0727,1.5954,0.2326,0
0,0.0369,0.012,0,0.8733,0.0028,0
0,0,0,0,0.0912,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0996,0,0,0.1236,0,0.0013,0.3318
0.7595,1.33E-02,0.0168,0.6349,0.0004,0.1389,1.4493
1.2685,0.2105,0.1032,1.1761,0.0696,0.5864,2.116
1.5934,0.6042,0.1752,1.542,0.8468,1.2031,2.1819
1.8898,0.8488,0.2664,1.7351,1.8691,1.6603,2.2761
1.7604,1.15,0.4848,1.8125,2.4565,1.7999,1.9751
1.3337,1.4464,0.6468,1.8442,3.5432,1.8111,1.407
0.8957,1.4558,0.6384,1.6895,3.813,1.509,0.7353
0.4738,1.1362,0.4812,1.2974,3.0446,0.9789,0.3189
0.1188,0.7332,0.2844,0.6853,2.4132,0.3853,0.0342
0.0004,0.336,0.12,0.0814,2.1922,0.0736,0
0,0.0471,0.0048,0,1.1552,0.0014,0
0,0,0,0,0.1933,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0101,0,0,0.3279,0,0.0001,0.0442
0.1337,0.0687,0.0588,0.9815,0.0012,0.2677,0.2079
0.3063,0.8849,0.3228,1.5687,0.1202,1.0181,0.4
0.5059,1.6786,0.564,2.0059,0.7238,1.7575,0.488
0.8393,2.1894,0.7044,2.2326,1.2912,2.1909,0.536
1.0607,2.3571,0.6984,2.2856,1.4806,2.2009,0.4062
0.8757,2.3251,0.6084,2.1675,1.8368,2.0716,0.2258
0.7258,2.233,0.4272,1.8944,2.459,2.0572,0.135
0.5341,1.9006,0.2484,1.3702,2.55,1.4742,0.078
0.1661,1.3197,0.126,0.7137,2.3456,0.82,0.0024
0.0031,0.5469,0.0564,0.1008,1.7538,0.2418,0
0,0.0151,0.0024,0,0.8964,0.0007,0
0,0,0,0,0.1412,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0322,0,0,0.245,0,0.0005,0.1083
0.4639,0.0597,0.03,0.7998,0.0006,0.4623,0.4335
1.4551,0.5763,0.1416,1.3154,0.0531,1.5965,1.2385
2.5262,1.0878,0.2244,1.9798,1.1024,2.6674,2.2503
